Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Accuracy,Spreadsheet: display,Spreadsheet: test items,BA
1,1.73E+12,2/11/2024 12:39,1.73E+12,8,3/11/2024 4:39,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,,,,,0,,,
2,1.73E+12,2/11/2024 12:39,1.73E+12,8,3/11/2024 4:39,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,1,Instruction,experiment instruction,ekukxy,1,Instruction,,
3,1.73E+12,2/11/2024 12:40,1.73E+12,8,3/11/2024 4:40,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,1,Instruction,BA definition,p4r1d6,1,Instruction,,
4,1.73E+12,2/11/2024 12:40,1.73E+12,8,3/11/2024 4:40,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,1,Pretraining,pretraining instruction,nb1rzi,1,Pretraining,,
5,1.73E+12,2/11/2024 12:40,1.73E+12,8,3/11/2024 4:40,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,1,Pretraining,pretraining instructioin_2,lq7cvu,1,Pretraining,,
6,1.73E+12,2/11/2024 12:40,1.73E+12,8,3/11/2024 4:40,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,1,Pretraining test,test,wgm3xn,1,Pretraining test,小明拿著兩把刀。,否
7,1.73E+12,2/11/2024 12:40,1.73E+12,8,3/11/2024 4:40,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,2,Pretraining test,test,wgm3xn,1,Pretraining test,小明把握住機會。,否
8,1.73E+12,2/11/2024 12:40,1.73E+12,8,3/11/2024 4:40,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,3,Pretraining test,test,wgm3xn,1,Pretraining test,小明把兩本漫畫放回書架上。,是
9,1.73E+12,2/11/2024 12:40,1.73E+12,8,3/11/2024 4:40,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,4,Pretraining test,test,wgm3xn,1,Pretraining test,小明把笑話說得一點都不好笑。,是
10,1.73E+12,2/11/2024 12:40,1.73E+12,8,3/11/2024 4:40,187120,8,task-uo5z,,41065198,BLIND,11990828,,complete,,,tablet,undefined K,Android 10,Edge 130.0.0.0,677x764,677x629,,,0,Chinese Ba Acceptability Exp.,18,Spreadsheet1,Spreadsheet1,5,Pretraining test,test,wgm3xn,1,Pretraining test,小明撐著一把雨傘。,否
